acc_sum,block,block_c,change,condition,correct,correct_response,datetime,endtime,face,project,response,response_time,row_sel,session_number,start_end,starttime,subject_id,task,task_vers,trial
0,prac,1,,1-Back,,,Fri Jan 17 2025 13:27:43 GMT-0500 (Eastern Standard Time),,005_o_f_d_a.png,I,space,13153,1,3,,,9002,VNB,B,0
1,prac,1,0.0,1-Back,1,m,Fri Jan 17 2025 13:27:43 GMT-0500 (Eastern Standard Time),147293.10000038147,020_y_f_n_a.png,I,m,889,2,3,1804.6000003814697,145488.5,9002,VNB,B,1
2,prac,1,0.0,1-Back,1,m,Fri Jan 17 2025 13:27:43 GMT-0500 (Eastern Standard Time),149693.10000038147,007_m_m_h_a.png,I,m,1444,3,3,2386.300001144409,147306.79999923706,9002,VNB,B,2
3,prac,1,0.0,1-Back,1,m,Fri Jan 17 2025 13:27:43 GMT-0500 (Eastern Standard Time),151876.20000076294,016_y_m_d_a.png,I,m,1231,4,3,2169.900001525879,149706.29999923706,9002,VNB,B,3
4,prac,1,0.0,1-Back,1,m,Fri Jan 17 2025 13:27:43 GMT-0500 (Eastern Standard Time),153976.20000076294,005_o_f_n_a.png,I,m,1161,5,3,2088.0,151888.20000076294,9002,VNB,B,4
5,prac,1,1.0,1-Back,1,z,Fri Jan 17 2025 13:27:43 GMT-0500 (Eastern Standard Time),155859.60000038147,016_y_m_n_a.png,I,z,928,6,3,1869.6000003814697,153990.0,9002,VNB,B,5
6,prac,1,0.0,1-Back,1,m,Fri Jan 17 2025 13:27:43 GMT-0500 (Eastern Standard Time),157709.39999961853,004_o_m_h_a.png,I,m,930,7,3,1836.5,155872.89999961853,9002,VNB,B,6
7,prac,1,0.0,1-Back,1,m,Fri Jan 17 2025 13:27:43 GMT-0500 (Eastern Standard Time),160109.20000076294,011_m_f_d_a.png,I,m,1451,8,3,2386.6000003814697,157722.60000038147,9002,VNB,B,7
7,prac,1,1.0,1-Back,0,z,Fri Jan 17 2025 13:27:43 GMT-0500 (Eastern Standard Time),162409.39999961853,020_y_f_d_a.png,I,m,1371,9,3,2290.199998855591,160119.20000076294,9002,VNB,B,8
8,prac,1,0.0,1-Back,1,m,Fri Jan 17 2025 13:27:43 GMT-0500 (Eastern Standard Time),165042.89999961853,007_m_m_n_a.png,I,m,1678,10,3,2610.0,162432.89999961853,9002,VNB,B,9
9,prac,1,0.0,1-Back,1,m,Fri Jan 17 2025 13:27:43 GMT-0500 (Eastern Standard Time),167309.20000076294,005_o_f_h_a.png,I,m,1319,11,3,2252.7000007629395,165056.5,9002,VNB,B,10
10,prac,1,0.0,1-Back,1,m,Fri Jan 17 2025 13:27:43 GMT-0500 (Eastern Standard Time),169176.39999961853,016_y_m_d_a.png,I,m,912,12,3,1858.6999988555908,167317.70000076294,9002,VNB,B,11
0,test,1,0.0,1-Back,,,Fri Jan 17 2025 13:27:43 GMT-0500 (Eastern Standard Time),169176.39999961853,020_y_f_d_a.png,I,space,14355,1,3,1858.6999988555908,167317.70000076294,9002,VNB,B,0
1,test,1,0.0,1-Back,1,m,Fri Jan 17 2025 13:27:43 GMT-0500 (Eastern Standard Time),204759.70000076294,011_m_f_n_a.png,I,m,1093,2,3,2155.300001144409,202604.39999961853,9002,VNB,B,1
2,test,1,0.0,1-Back,1,m,Fri Jan 17 2025 13:27:43 GMT-0500 (Eastern Standard Time),206876.20000076294,004_o_m_h_a.png,I,m,1088,3,3,2106.6000003814697,204769.60000038147,9002,VNB,B,2
3,test,1,1.0,1-Back,1,z,Fri Jan 17 2025 13:27:43 GMT-0500 (Eastern Standard Time),208792.89999961853,007_m_m_h_a.png,I,z,891,4,3,1907.2999992370605,206885.60000038147,9002,VNB,B,3
4,test,1,0.0,1-Back,1,m,Fri Jan 17 2025 13:27:43 GMT-0500 (Eastern Standard Time),210826.29999923706,005_o_f_n_a.png,I,m,1007,5,3,2023.0,208803.29999923706,9002,VNB,B,4
5,test,1,0.0,1-Back,1,m,Fri Jan 17 2025 13:27:43 GMT-0500 (Eastern Standard Time),213459.5,016_y_m_d_a.png,I,m,1597,6,3,2622.2999992370605,210837.20000076294,9002,VNB,B,5
6,test,1,1.0,1-Back,1,z,Fri Jan 17 2025 13:27:43 GMT-0500 (Eastern Standard Time),215626.0,011_m_f_d_a.png,I,z,1140,7,3,2155.7000007629395,213470.29999923706,9002,VNB,B,6
7,test,1,0.0,1-Back,1,m,Fri Jan 17 2025 13:27:43 GMT-0500 (Eastern Standard Time),217876.10000038147,020_y_f_h_a.png,I,m,1129,8,3,2239.0,215637.10000038147,9002,VNB,B,7
8,test,1,0.0,1-Back,1,m,Fri Jan 17 2025 13:27:43 GMT-0500 (Eastern Standard Time),220109.60000038147,004_o_m_n_a.png,I,m,1155,9,3,2222.6000003814697,217887.0,9002,VNB,B,8
9,test,1,0.0,1-Back,1,m,Fri Jan 17 2025 13:27:43 GMT-0500 (Eastern Standard Time),222959.60000038147,016_y_m_h_a.png,I,m,1769,10,3,2839.8999996185303,220119.70000076294,9002,VNB,B,9
10,test,1,0.0,1-Back,1,m,Fri Jan 17 2025 13:27:43 GMT-0500 (Eastern Standard Time),225025.79999923706,004_o_m_d_a.png,I,m,965,11,3,2055.5,222970.29999923706,9002,VNB,B,10
11,test,1,1.0,1-Back,1,z,Fri Jan 17 2025 13:27:43 GMT-0500 (Eastern Standard Time),227159.39999961853,005_o_f_d_a.png,I,z,1109,12,3,2128.2999992370605,225031.10000038147,9002,VNB,B,11
12,test,1,0.0,1-Back,1,m,Fri Jan 17 2025 13:27:43 GMT-0500 (Eastern Standard Time),229242.79999923706,007_m_m_n_a.png,I,m,1056,13,3,2074.0,227168.79999923706,9002,VNB,B,12
13,test,1,1.0,1-Back,1,z,Fri Jan 17 2025 13:27:43 GMT-0500 (Eastern Standard Time),231559.29999923706,020_y_f_n_a.png,I,z,1293,14,3,2305.699998855591,229253.60000038147,9002,VNB,B,13
14,test,1,0.0,1-Back,1,m,Fri Jan 17 2025 13:27:43 GMT-0500 (Eastern Standard Time),233559.39999961853,011_m_f_h_a.png,I,m,977,15,3,1994.8999996185303,231564.5,9002,VNB,B,14
15,test,1,0.0,1-Back,1,m,Fri Jan 17 2025 13:27:43 GMT-0500 (Eastern Standard Time),235992.5,007_m_m_d_a.png,I,m,1341,16,3,2421.6000003814697,233570.89999961853,9002,VNB,B,15
16,test,1,0.0,1-Back,1,m,Fri Jan 17 2025 13:27:43 GMT-0500 (Eastern Standard Time),238659.70000076294,016_y_m_n_a.png,I,m,1647,17,3,2661.900001525879,235997.79999923706,9002,VNB,B,16
17,test,1,0.0,1-Back,1,m,Fri Jan 17 2025 13:27:43 GMT-0500 (Eastern Standard Time),240592.70000076294,005_o_f_h_a.png,I,m,901,18,3,1924.6000003814697,238668.10000038147,9002,VNB,B,17
0,test,2,0.0,1-Back,,,Fri Jan 17 2025 13:27:43 GMT-0500 (Eastern Standard Time),240592.70000076294,016_y_m_n_a.png,I,space,3936,1,3,1924.6000003814697,238668.10000038147,9002,VNB,B,0
1,test,2,0.0,1-Back,1,m,Fri Jan 17 2025 13:27:43 GMT-0500 (Eastern Standard Time),248509.70000076294,020_y_f_h_a.png,I,m,920,2,3,1945.5,246564.20000076294,9002,VNB,B,1
